,NIC,2023-07-01,2023-07-02,2023-07-03,2023-07-04,2023-07-05,2023-07-06,2023-07-07,2023-07-08,2023-07-09,2023-07-10,2023-07-11,2023-07-12,2023-07-13,2023-07-14,2023-07-15,2023-07-16,2023-07-17,2023-07-18,2023-07-19,2023-07-20,2023-07-21,2023-07-22,2023-07-23,2023-07-24,2023-07-25,2023-07-26,2023-07-27,2023-07-28,2023-07-29,2023-07-30,2023-07-31,2023-08-01,2023-08-02,2023-08-03,2023-08-04,2023-08-05,2023-08-06,2023-08-07,2023-08-19,2023-08-20,2023-08-21,2023-08-22,2023-08-23,2023-08-24,2023-08-25,2023-08-26,2023-08-27,2023-08-28,2023-09-29,2023-09-30
0,605442307,77466.23625,77488.2325,77505.3375,77529.5,77539.8,77559.7025,77577.83,77588.1525,77599.215,77608.49124999999,77630.99125,77642.95874999999,77661.525,77677.08375,77696.80875,77709.06875,77728.78375,77751.58875,77767.9675,77781.3725,77798.13375000001,77809.6925,77821.95749999999,77842.09125,77859.945,77882.6775,77907.1125,77932.8425,77963.96125,77990.275,78014.915,78032.21125,78050.16875,78065.1975,78086.13125,78107.75624999999,78139.91375,78164.23625,78440.53375,78467.4825,78491.86875,78514.17375,78535.62875,78556.5475,78575.52124999999,78598.42874999999,78624.90875,78647.07625,79293.1975,79310.67749999999
1,605443194,89659.3775,89668.93625000001,89668.9425,89668.95000000001,89678.65375,89688.63624999998,89698.14125,89707.175,89715.57750000001,89715.58125,89725.57,89734.56,89743.66124999999,89753.1575,89762.27249999999,89770.4875,89770.49625,89779.46375,89789.60624999998,89800.045,89800.0525,89810.755,89819.94625000001,89819.95375000002,89829.53,89840.0225,89850.6625,89860.34749999999,89869.94750000001,89878.515,89878.52375,89888.5875,89898.15625,89907.18,89917.06,89926.7175,89935.91875,89935.9275,90035.59375,90046.0225,90046.0325,90046.04000000001,90056.45000000001,90066.88375000001,90076.60250000001,90086.10625,90095.7775,90095.79625,90346.47,90356.55124999999
2,605444971,115035.77875,115083.57375000001,115124.50125,115167.3,115211.92375,115258.64749999999,115309.68,115350.09,115386.965,115422.13125,115468.42499999999,115512.87625,115530.62125,115546.99250000001,115563.9675,115581.3,115593.08625,115606.5675,115620.66500000001,115635.05249999999,115646.765,115660.805,115674.9425,115686.75,115700.25875,115713.92125000001,115727.42375,115741.10875,115755.17874999999,115769.38625,115781.26625,115795.05,115808.52249999999,115822.27124999999,115835.7325,115850.005,115863.7725,115875.36125,115926.485,115932.25875000001,115938.98625,115942.88375,115944.92624999999,115954.38874999998,115966.96875,115981.40375,116055.49875,116134.61249999999,118254.405,118318.88375000001
3,605446435,69891.04875,69914.92,69935.124375,69957.360625,69979.30125,70002.264375,70026.33562499999,70050.34375,70069.684375,70084.32562500001,70106.319375,70130.85625,70151.756875,70174.95625,70198.464375,70219.629375,70242.88249999999,70263.73625,70283.755,70307.66750000001,70330.125,70354.729375,70379.91125,70401.27312499999,70426.5075,70451.78,70479.50562499999,70503.33437499999,70531.30875,70561.9025,70582.40312500001,70606.435625,70630.014375,70653.821875,70680.22750000001,70712.63125,70741.153125,70764.15875,71075.769375,71102.86125,71125.89875000001,71135.94125,71147.544375,71159.58,71170.23125,71182.1025,71195.26625,71205.469375,71600.02625000001,71612.303125
4,605451409,989537.368125,0,989537.448125,989537.448125,989537.448125,0,989552.815,989568.2075,989577.5012500001,989577.5012500001,989577.5012500001,989577.5025000001,989577.5025000001,989577.50375,989577.50375,989577.50375,989577.58375,989577.58375,989577.58375,989577.58375,989577.58375,989577.66375,0,989577.66375,0,989577.66375,0,0,989577.74375,0,989577.745,989577.745625,989577.74625,989577.8262499999,989577.8262499999,0,989577.8262499999,989577.8262499999,989577.9218749999,989577.9218749999,0,989578.003125,0,989578.00625,989578.01125,989578.01125,989578.01125,989578.011875,989578.279375,989578.28
5,605452286,211767.74500000002,0,211786.77999999997,211790.555,211799.39500000002,0,211809.61,211809.61,211815.08500000002,211831.47499999998,211851.16499999998,211871.11,211891.36,211912.33999999997,211933.965,211952.70500000002,211974.9,211997.40500000003,212021.53,212044.47,212063.69,212084.91999999998,0,212124.26,0,212164.495,0,0,212244.57,0,212317.975,212358.76,212399.04,212442.645,212491.29,0,212604.83000000002,212648.81,213942.56,214039.49,0,214214.38,0,214412.21999999997,214513.21,214610.43,214714.605,214815.115,218143.355,218250.51
6,605453063,276062.30500000005,0,276192.655,276215.33499999996,276272.07,0,276367.96499999997,276407.19,276444.41000000003,276493.935,276540.765,276610.47,276665.445,276711.36,276756.195,276766.895,276828.17000000004,276872.355,276928.495,276996.385,277064.005,277126.57,0,277254.45499999996,0,277401.255,0,0,277598.375,0,277729.06,277798.29000000004,277855.845,277920.945,277987.105,0,278135.08999999997,278188.295,279003.64,279067.83999999997,0,279173.7,0,279274.58999999997,279284.19,279352.89,279424.435,279485.145,281715.515,281788.235
7,605454840,35.633125,0,35.659375,35.661874999999995,35.673125,0,35.690625,35.69625,35.7025,35.711875,35.719375,35.73375,35.743750000000006,35.7525,35.759375,35.76,35.771874999999994,35.78,35.790625,35.804375,35.818124999999995,35.830625,0,35.856874999999995,0,35.886874999999996,0,0,35.926875,0,35.95375,35.968125,35.979375,35.993125,36.0075,0,36.040625,36.051874999999995,36.2325,36.2475,0,36.27125,0,36.292500000000004,36.293125,36.308749999999996,36.325,36.33875,36.863125,36.880625
8,605455527,332301.37,332400.96,332528.35,332547.67500000005,332606.30500000005,332699.93000000005,332773.155,332848.565,332925.455,332993.36,333070.5,333151.46499999997,333229.475,333304.775,333384.605,333464.485,333534.615,333605.995,333677.78500000003,333751.20499999996,333820.96499999997,333896.295,333973.275,334038.165,334110.855,334189.645,334267.07999999996,334345.45,334428.865,334511.47,334574.61000000004,334649.33499999996,334725.97,334798.16500000004,334873.64999999997,334957.9,335044.595,335111.91000000003,336011.43,336094.95,336164.07499999995,336234.41000000003,336304.565,336411.845,336515.11,336655.19,336804.22000000003,336923.11,341338.18000000005,341477.97
9,605456304,26437.8875,26437.891875,26437.8975,26437.899375,26437.903125,26437.906875,26437.91,26437.915,26437.918124999997,26437.92125,26437.925,26437.92875,26437.931875000002,26437.936875,26437.940625000003,26437.94375,26437.947500000002,26437.951250000002,26437.954375,26437.9575,26437.96125,26437.965,26437.968125,26437.971250000002,26437.974374999998,26437.978125,26437.981249999997,26437.985,26437.98875,26437.9925,26437.995625,26437.99875,26438.001875,26438.005624999998,26438.00875,26438.0125,26438.016875,26438.02,26438.06,26438.06375,26438.066875,26438.070625,26438.07375,26438.078125,26438.083125,26438.089375,26438.095625,26438.10125,26438.30625,26438.313125
